name,phone,address,city,state,postal,primary_email,owner,contacts,other_emails,website,sources
"RITE RUG CO INC","(614) 261-6060","","COLUMBUS","OH","","pr@riterug.com","Michael Goldberg","","mgoldberg@riterug.com,mgoldberg@riterug.com","http://www.riterug.com/,","consolidated,johanna"
"GREAT LAKES CARPET & TILE LLC","(352) 330-4800","","LADY LAKE","FL","","N/A","Darren A. Hearns","","darrenh@greatlakescarpet.com,darrenh@greatlakescarpet.com","http://www.greatlakescarpet.com/,","consolidated,johanna"
"C. C. CARPET","(214) 631-0704","7600 AMBASSADOR ROW","DALLAS","TX","","N/A","Steve Fitzgerald","","steve@cccarpet.com,steve@cccarpet.com","WWW.CCCARPET.COM,http://www.cccarpet.com,","consolidated,johanna"
"CARPET DEN INC","(615) 771-0128","264 Mallory Station Rd Ste 1","FRANKLIN","TN","","N/A","Rick McCormick ; Jo Ann McCormick","","-,-","www.carpetden.com,www.carpetden.com,","consolidated,johanna"
"FLOOR STORE INC","(510) 527-3203","1460 Concord Ave","RICHMOND","CA","","N/A","Larry Flick","","-,-","http://www.floorstores.com/,www.floorstores.com,","consolidated,johanna"
"CARPET CITY INC","(701) 235-7525","","FARGO","ND","","N/A","Jerry Kautzman","","-,-","http://www.carpetworldfargo.com/,","consolidated,johanna"
"warehouse carpet","(607) 797-5040","500 reynolds ave","johnson city","NY","","mmazz22@yahoo.com","-","","-,-","http://www.warehousecpt.com/,","consolidated,johanna"
"MID TEX OF MIDLAND INC","(432) 697-2282","","MIDLAND","TX","","N/A","Alan White","","alan@midtexofmidland.com,alan@midtexofmidland.com","www.midtexofmidland.com,","consolidated,johanna"
"KREGGER KRAFT LLC","(405) 348-6777","2701 S. Broadway","EDMOND","OK","","N/A","Paul Kregger ; Sam Kregger","","skregger@gmail.com,skregger@gmail.com","http://kreggers.com/,","consolidated,johanna"
"Creative Floors","(407) 265-9566","830 S.R. 436","Casselberry","FL","","N/A","Bob Campbell ; Richard Phlegar","","-,-","http://creativefloorsonline.com/,http://creativefloorsonline.com/,http://www.creativefloorsinc.com/,","consolidated,johanna"
"CARPETS BY MR JASON INC","(954) 973-4990","","MARGATE","FL","","suzie@carpetsbymrjason.com","Howard Siegel","","cs01@carpetsbymrjason.com,cs01@carpetsbymrjason.com","http://carpetsbymrjason.com/,","consolidated,johanna"
"CAPITOL CARPET INC","(561) 533-9800","500 INDUSTRIAL WAY","BOYNTON BEACH","FL","","Store15@capitolcarpetandtile.com","Lou Morano","","loum@capitolcarpetandtile.com,loum@capitolcarpetandtile.com","http://www.capitolcarpetandtile.com/index.html,www.capitolcarpetandtile.com,http://www.capitolcarpetandtile.com/,","consolidated,johanna"
"SPEIDEL FLOORING LLC","(712) 580-4400","","SPENCER","IA","","N/A, speidelflooring@yahoo.com","Mark Speidel","","-,-","http://nwiowaflooring.com/,","consolidated,johanna"
"BARRINGTON CARPET & FLR DESIGN","(330) 896-4141","3602 S. Arlington Rd.","AKRON","OH","","N/A","Duane Brown","","-,-","http://www.barringtoncarpet.com/,","consolidated,johanna"
"CARPET WORLD INC","(701) 258-1968","","BISMARCK","ND","","carpetworldbis@midconetwork.com","Robert Dauenhauer","","-,-","http://www.carpetworldbismarck.com/,","consolidated,johanna"
"SSC CORP DBA Flooring Gallery","(515) 270-0087","11335 MEREDITH DR","URBANDALE","IA","","N/A","Dan Stalzer","","-,-","http://www.flooringgallery.com/,http://www.aronsonsfloors.com/,N/A,","consolidated,johanna"
"CARPET LIQUIDATORS","(410) 789-1155","","LINTHICUM HEIGHTS","MD","","N/A","Steve Olert","","-,-","http://www.baltimorecarpets.com,","consolidated,johanna"
"JEK CARPET CORPORATION","(305) 591-4141","","DORAL","FL","","N/A","Jeff Katz","","Jeff.Katz@dolphincarpet.com,Jeff.Katz@dolphincarpet.com","http://www.dolphincarpet.com/,","consolidated,johanna"
"WATKINS FLOOR COVERING","(910) 347-7704","","JACKSONVILLE","NC","","N/A","Donnie Watkins","","-,-","www.watkinsnewfloor.com,","consolidated,johanna"
"HOFFMANN FLOORS INC","(830) 625-2629","","NEW BRAUNFELS","TX","","N/A","Wayne L. Hoffmann","","-,-","http://www.hoffmannfloors.com,","consolidated,johanna"
"KEVCO CARPETS & VINYL INC","(615) 871-0001","","HERMITAGE","TN","","N/A","Kevin Early","","kevinearly@kevcocarpets.com,kevinearly@kevcocarpets.com","http://www.kevcocarpet.com/default.aspx,","consolidated,johanna"
