name,address,city,state,postal,phone,websites
ABBEY CARPETS S.F.,3301 GEARY BOULEVARD,SAN FRANCISCO,CA,94118,(415) 752-6620,http://sanfrancisco.abbeycarpet.com/
ALDEN'S CARPETS,1663 PLACENTIA AVENUE,COSTA MESA,CA,92626,(949) 646-4838,http://www.aldenscarpets.com/
"ATIYEH BROS,INCORPORATED",6750 S.W. BONITA ROAD,TIGARD,OR,97224,(503) 639-8642,http://www.atiyehbros.com
CAROUSEL  PASADENA,676 EAST GREEN STREET,PASADENA,CA,91101,(626) 795-8085,http://www.carouselfloors.com
"CARPET CONCOURSE, INC.",17472 VENTURA BOULEVARD,ENCINO,CA,91316,(818) 995-6566,not found
CONKLIN BROS SAN JOSE,2250 ALMADEN EXPRESSWAY,SAN JOSE,CA,95125,(408) 266-2250,www.conklinbros.com/
CONTEMPO FLOORS,902 SOUTH BARRINGTON AVE,LOS ANGELES,CA,90049,(310) 826-8063,http://www.contempofloorcoverings.com
DRAPERY WORLD,14736 OXNARD STREET,VAN NUYS,CA,91411,(818) 988-9366,http://www.draperyworldandcarpet.com
EINSTEIN MOOMJY,265 ROUTE 10,WHIPPANY,NJ,7981,(973) 887-3600,http://www.einsteinmoomjy.com
NEWPORT FLOOR COVERING,3500 EAST COAST HIGHWAY,CORONA DEL MAR,CA,92625,(949) 675-1636,http://www.newportfloorcoronadelmar.com
POWERS CARPETS,71-685 HIGHWAY 111,RANCHO MIRAGE,CA,92270,(760) 346-3113,www.powerscarpets.co.uk/
SELDENS INTERIORS,1802 62ND AVE. EAST,TACOMA,WA,98424,(253) 922-5700,http://www.seldens.com/
FLOORS BEAUTIFUL,1200 MAMARONECK AVENUE,WHITE PLAINS,NY,10605,(914) 949-1400,not found
KAPRELIAN ORIENTAL RUGS,1100 GOFFLE ROAD,HAWTHORNE,NJ,7506,(973) 423-5240,www.kaprelian.com
SUNSET FLOOR  EL SEGUNDO,130 W. GRAND AVENUE,EL SEGUNDO,CA,90245,(310) 322-7254,www.sunsetcarpetoneelsegundo.com
"HARRY KATZ FLOOR COV, INC. (2)",450 JERICHO TURNPIKE,MINEOLA,NY,11501,(516) 746-1458,http://www.harrykatzcarpetone.com/
G. FRIED & SONS,800 OLD COUNTRY ROAD,WESTBURY,NY,11590,(516) 333-3900,www.gfriedcarpet.com
JOHN P. SEDLAK INC.,34300 SOLON ROAD,SOLON,OH,44139,(440) 248-2424,http://www.sedlakinteriors.com/
COLLECTORS GALLERY & INTERIORS,30655 DETROIT RD,WESTLAKE,OH,44145,(440) 899-5200,
COUNTRY CARPETS DIST.,207 ROBBINS LANE,SYOSSET,NY,11791,(516) 822-5855,http://www.countrycarpet.com
MARSHALL CARPET COMPANY,1451 SOM CENTER ROAD,MAYFIELD HEIGHTS,OH,44124,(440) 449-4977,http://www.marshallcarpet.com/
*EMW CARPETS AND FURNITURE,2141 S. BROADWAY,DENVER,CO,80210,(303) 744-2754,www.emwcarpets.com
MONTAUK RUG & CARPET,65 PRICE PARKWAY,E. FARMINGDALE,NY,11735,(631) 293-3900,www.montaukcarpet.com
PAUL'S DIST. CO.,700 N E 13TH STREET,FT. LAUDERDALE,FL,33304,(954) 763-6904,http://www.paulscarpet.com/
ELTE CARPETS LIMITED,80 RONALD AVE.,"TORONTO, ONTARIO",CN,M6E 5A2,(416) 785-7885,www.elte.com
DOMINION RUG SALES LTD.,3420 YONGE STREET,"TORONTO, ONTARIO",CN,M4N 2M9,(416) 485-9488,www.dominionrug.com
CUSTOM CARPET SHOP INC,P O BOX 2105,ROCKVILLE,MD,20847,(301) 881-7878,www.customcarpetshop.com/
DESIGNERS NORTH CARPET INC,ONE ALBERTSON AVENUE,ALBERTSON,NY,11507,(516) 484-6161,not found
RIEMER FLOORS INC,1865 TELEGRAPH ROAD,BLOOMFIELD HILLS,MI,48302,(248) 335-3500,www.riemerfloors.com
THE CARPET BOUTIQUE,4103 PONCE DE LEON BLVD,CORAL GABLES,FL,33146,(305) 445-1939,www.thecarpetboutique.com
"BAINBRIDGE FLOORCOVERINGS, INC",156 WINSLOW WAY E.,BAINBRIDGE ISLAND,WA,98110,(206) 842-4717,not found
SUNSET PLAZA CARPET CO.,8256 MELROSE AVE.,LOS ANGELES,CA,90046,(323) 653-5555,www.plazacarpetcompany.com
MELROSE DISCOUNT CARPET,7951 MELROSE AVENUE,LOS ANGELES,CA,90046,(323) 653-4653,http://www.melrosecarpet.com
R.M. PARTNERS,1439 SOUTH STATE COLLEGE,ANAHEIM,CA,92806,(714) 533-6500,not found
LAHAINA CARPET,1036 LIMAHANA #3L,LAHAINA,HI,96761,(808) 661-4268,http://www.manta.com/c/mm7v9h1/lahaina-carpet-interiors-inc
BLAKLEY CORPORATION,8060 E 88TH STREET,INDIANAPOLIS,IN,46256,(317) 842-9600,http://blakleys.com/
FLOW CARPETS,1608 N E 205TH TERRACE,N MIAMI BEACH,FL,33179,(305) 652-2111,www.flowcarpets.com/
VILLAGE CARPETS,1779 WINNETKA ROAD,NORTHFIELD,IL,60093,(847) 446-1600,none
"DORELLO CARPETS & AREA RUGS,",594 MAIN AVENUE,NORWALK,CT,6851,(203) 847-0335,http://www.dorellocarpet.com
B.L. AND L. CORPORATION,1985 SAN RAMON VALLEY BLVD,SAN RAMON,CA,94583,(925) 837-3716,not found
"WESTCHESTER CARPETS, INC.",22133 S VERMONT AVENUE,TORRANCE,CA,90502,(310) 787-0704,westchestercarpetcompany.com
"DESIGN A RUG,INC.",3663 N. FEDERAL HWY,POMPANO BEACH,FL,33064,(954) 943-7487,www.design-a-rug.com
FENWAY FLOOR COVERING CO INC,346 NORTH AVE,NEW ROCHELLE,NY,10801,(914) 235-0400,http://www.facebook.com/pages/Fenway-F-Covering/121943974529383
THE CARPET CONNECTION INC.,1000 CLINT MOORE RD. STE 101,BOCA RATON,FL,33487,(561) 998-8080,www.merchantcircle.com/business/The.Carpet.Connection.561-998-8080
FABER'S RUG CO. INC.,9 CENTRAL ST.,WELLESLEY,MA,2482,(781) 235-5996,http://www.faberrug.com
LEWIS FLOOR & HOME,1840 SKOKIE BLVD.,NORTHBROOK,IL,60062,(847) 835-2400,http://www.lewisfloorandhome.com
NORIEGA FURNITURE,1455 TARAVAL STREET,SAN FRANCISCO,CA,94116,(415) 564-4110,noriegafurniture.com
GREENBAUM HOME FURNISHINGS,P.O. BOX 280,BELLEVUE,WA,98009,(425) 454-2474,www.differentbydesign.com/
ABC CARPETS,888 BROADWAY,NEW YORK,NY,10003,(212) 473-3000,www.abchome.com/
"GLEN PACIFIC CARPETS, INC.",444 FOOTHILL BLVD,LA CANADA,CA,91011,(818) 241-9919,not found
RUSSELL MARTIN CPT. & RUGS LTD,633 N. WASHINGTON ST.,NAPERVILLE,IL,60563,(630) 961-1312,http://www.rmcarpets.com
GCW CARPET WHOLESALERS,555 S. HENDERSON ROAD,KING OF PRUSSIA,PA,19406,(610) 757-2000,none
MYERS CARPET,1500 NORTHSIDE DR.  N.W.,ATLANTA,GA,30318,(404) 352-8141,www.myerscarpet.com
N. GINSBURG & SONS INC,10709 GILROY ROAD STE 150,HUNT VALLEY,MD,21031,(410) 329-9680,http://www.floors-etc.com
STAFFORD FLOOR COVERING,1150 UNIVERSITY AVE.,ROCHESTER,NY,14607,(585) 482-0600,http://www.staffordfloorcovering.com
JIM BOYD'S/DELMARVA,12 W AYLESBURY ROAD,TIMONIUM,MD,21093,(410) 667-0620,http://www.jimboydsflooringamerica.com
MITCHELL'S FLOOR COVERINGS,532 STEVENS AVE,SOLANA BEACH,CA,92075,(858) 755-8880,http://www.getfloored.com/
DICKS WHOLESALE CARPET,36 HEGENBERGER CT,OAKLAND,CA,94621,(510) 633-9533,http://www.dickscarpetoneoakland.com/
"FARSH, INC.",710 JEFFERSON STREET,ALEXANDRIA,VA,22314,(703) 548-8884,not found
"FELIKIAN BROS., INC.",188 N. ROSEMEAD BLVD.,PASADENA,CA,91107,(626) 795-2821,www.felikiancarpet.com
CARPET TRENDS,P.O. BOX 362,RYE,NY,10580,(914) 967-5188,http://carpetrends.com/index.php
"FLOOR FACTORS, INC.",1320 N.W. 17TH AVE.,PORTLAND,OR,97209,(503) 222-9393,http://www.floorfactors.com
A.P.T. CUSTOM CARPETS,75 WEST BEAVER CREEK ROAD #1,ONTARIO,CN,L4B 1K6,(905) 764-1588,not found
THE CARPET YARD,1315 CHAIN BRIDGE RD,MCLEAN,VA,22101,(703) 893-7555,www.thecarpetyard.com
"BARB LIN, INC.",640 N. MAIN STREET,DOYLESTOWN,PA,18901,(215) 348-8116,http://barblincarpetone.hdspd.com/sb.cn
