Soft Region,Hard Region,name,ADDRESS LINE #1,ADDRESS LINE #2,ADDRESS LINE #3,city,state,ZIP CODE,website,phone
208 - MID CENTRAL,506 - HS NORTHEAST,RITE RUG CO INC,3949 BUSINESS PARK DR,,,COLUMBUS,OH,43204,http://www.riterug.com/,(614) 261-6060
209 - MID-ATLANTIC,506 - HS NORTHEAST,SOVEREIGN DISTRIBUTORS INC,ATTN: ACCOUNTS PAYABLE,2030 SPRINGDALE RD STE 400,,CHERRY HILL,NJ,8003,N/A,(856) 834-5300
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,JACKS CARPET INC,8433 GULF FWY,,,HOUSTON,TX,77017,http://www.jackscarpet.com/,(713) 640-1115
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,KELLYS CARPETS,4600 SOUTH 90TH STREET,,,OMAHA,NE,68127,http://www.therugshopomaha.com/,(402) 593-7144
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,SSC CORP DBA Flooring Gallery,11335 MEREDITH DR,,,URBANDALE,IA,50322,http://www.flooringgallery.com/,(515) 270-0087
202 - FLORIDA,502 - HS FLORIDA,GREAT LAKES CARPET & TILE LLC,13553 N US HIGHWAY 441,,,LADY LAKE,FL,32159-8906,http://www.greatlakescarpet.com/,(352) 330-4800
208 - MID CENTRAL,506 - HS NORTHEAST,MC NABB DONALD E COMPANY INC,31250 S MILFORD RD,PO BOX 448,,MILFORD,MI,48381,http://www.demcnabb.com/,(248) 437-8146
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,FLOOR STORE INC,D/B/A FLOOR STORE,5327 JACUZZI ST STE 2A,,RICHMOND,CA,94804-5827,http://www.floorstores.com/,(510) 527-3203
206 - NORTHEAST,506 - HS NORTHEAST,WAREHOUSE CARPET & FURNITURE,OUTLET INC,500 REYNOLDS RD,,JOHNSON CITY,NY,13790,http://www.warehousecpt.com/,(607) 797-5040
202 - FLORIDA,502 - HS FLORIDA,JEK CARPET CORPORATION,DOLPHIN CARPET & TILE,3550 N.W.77TH CT,,DORAL,FL,33122,http://www.dolphincarpet.com/,(305) 591-4141
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,"HOME CARPET INVESTMENT, INC.",DBA/AMERICAS FINEST CARPET CO,730 DESIGN CT STE 401,,CHULA VISTA,CA,91911,N/A,(619) 262-8040
202 - FLORIDA,502 - HS FLORIDA,MANASOTA FLOORING INC,4551 N WASHINGTON BLVD,,,SARASOTA,FL,34234,http://www.manasotaonline.com,(941) 355-8437
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,CARPET CORNER INC,900 MINNESOTA AVE,,,KANSAS CITY,KS,66101,http://carpetcorneronline.com/,(913) 342-4123
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,C CARPET INC,CC CARPET INC,7600 AMBASSADOR ROW,,DALLAS,TX,75247,http://www.cccarpet.com,(214) 631-0704
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,MALKINS CARPETS INC,N95W17055 RICHFIELD WAY,,,MENOMONEE FALLS,WI,53051,http://www.malkinscarpets.com/,(262) 255-1400
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,OLSON RUG CO,832 S CENTRAL AVE,,,CHICAGO,IL,60644,http://www.olsonrug.com,(773) 921-1300
208 - MID CENTRAL,506 - HS NORTHEAST,BARRINGTON CARPET & FLR DESIGN,BARRINGTON CARPET LLC,3602 S ARLINGTON RD,,AKRON,OH,44312,http://www.barringtoncarpet.com/,(330) 896-4141
201 - SOUTHEAST,501 - HS SOUTHEAST,ISSIS AND SONS,2858 HIGHWAY 31 S,,,PELHAM,AL,35124,http://www.issisandsonsrugs.com/,(205) 663-2310
202 - FLORIDA,502 - HS FLORIDA,CAPITOL CARPET INC,500 INDUSTRIAL WAY,,,BOYNTON BEACH,FL,33426-8770,http://www.capitolcarpetandtile.com/,(561) 533-9800
208 - MID CENTRAL,506 - HS NORTHEAST,MCCOOL'S CARPET INC,333 S COUNTY ROAD 00 EW,,,KOKOMO,IN,46902,http://www.mccoolsflooring.com/,(765) 453-3039
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,STONERIDGE CARPETS,16838 STATE HIGHWAY 13,,,REEDS SPRING,MO,65737,http://www.stoneridgecarpets.com/,(417) 272-8155
