name,address,city,state,websites,phone,owners,other_emails,primary_email,,,,,,,,,,,,,,,,,,
RITE RUG CO INC,,COLUMBUS,OH,"http://www.riterug.com/,",(614) 261-6060,Michael Goldberg,mgoldberg@riterug.com,pr@riterug.com,,,,,,,,,,,,,,,,,,
GREAT LAKES CARPET & TILE LLC,,LADY LAKE,FL,"http://www.greatlakescarpet.com/,",(352) 330-4800,Darren A. Hearns,darrenh@greatlakescarpet.com,N/A,,,,,,,,,,,,,,,,,,
CARPET CITY INC,,FARGO,ND,"http://www.carpetworldfargo.com/,",(701) 235-7525,Jerry Kautzman,-,N/A,,,,,,,,,,,,,,,,,,
MID TEX OF MIDLAND INC,,MIDLAND,TX,"www.midtexofmidland.com,",(432) 697-2282,Alan White,alan@midtexofmidland.com,N/A,,,,,,,,,,,,,,,,,,
"KREGGER KRAFT LLC, Kregger's Floor & More",2701 S. Broadway,EDMOND,OK,"http://kreggers.com/,",(405) 348-6777,Paul Kregger; Sam Kregger,skregger@gmail.com,N/A,,,,,,,,,,,,,,,,,,
CARPETS BY MR JASON INC,,MARGATE,FL,"http://carpetsbymrjason.com/,",(954) 973-4990,Howard Siegel,cs01@carpetsbymrjason.com,suzie@carpetsbymrjason.com,,,,,,,,,,,,,,,,,,
"CAPITOL CARPET INC,BREWER CARPET & DESIGN,CAPITOL CARPET INC",500 INDUSTRIAL WAY,BOYNTON BEACH,FL,"http://www.capitolcarpetandtile.com/index.html,www.capitolcarpetandtile.com,http://www.capitolcarpetandtile.com/,",(561) 533-9800,Lou Morano,loum@capitolcarpetandtile.com,Store15@capitolcarpetandtile.com,,,,,,,,,,,,,,,,,,
SPEIDEL FLOORING LLC,,SPENCER,IA,"http://nwiowaflooring.com/,",(712) 580-4400,Mark Speidel,-,"N/A, speidelflooring@yahoo.com",,,,,,,,,,,,,,,,,,
CARPET WORLD INC,,BISMARCK,ND,"http://www.carpetworldbismarck.com/,",(701) 258-1968,Robert Dauenhauer,-,carpetworldbis@midconetwork.com,,,,,,,,,,,,,,,,,,
CARPET LIQUIDATORS,,LINTHICUM HEIGHTS,MD,"http://www.baltimorecarpets.com,",(410) 789-1155,Steve Olert,-,N/A,,,,,,,,,,,,,,,,,,
JEK CARPET CORPORATION,,DORAL,FL,"http://www.dolphincarpet.com/,",(305) 591-4141,Jeff Katz,Jeff.Katz@dolphincarpet.com,N/A,,,,,,,,,,,,,,,,,,
WATKINS FLOOR COVERING,,JACKSONVILLE,NC,"www.watkinsnewfloor.com,",(910) 347-7704,Donnie Watkins,-,N/A,,,,,,,,,,,,,,,,,,
