name,address,city,postal,state,phone,websites,owners,primary_email,contacts,other_emails
RC Willey,2301 S. 300 W.,Salt Lake City,84165,UT,(801) 493-4252,rcwilley.com,,,"Steve Hendricks,Steve Hendricks,Steve Hendricks",steve.hendricks@rcwilley.com
CARPET EXCHANGE,1133 S. PLATTE RIVER DRIVE,DENVER,80223,CO,(303) 744-3300,www.carpetexchange.com,Bruce Odette,bodette@carpetexchange.com,"Bruce Odette,Chuck Sari,Bruce Odette",csari@carpetexchange.com
Peek's Carpet & Tile,3933 N. Central Expressway,Plano,75023,TX,(972) 529-6677,www.peekscarpet.com,,,"Bill Ferron,Murphy Dykes,Todd",murphyd@peekscarpet.com
Bill`s Carpet Fair Inc,7100 Rutherford Rd,BALTIMORE,21244,MD,(410) 944-0010,www.billscarpetfair.com,,,"Bonnie Riddle,,",
Hadinger Carpet,6401 N Airport Road,Naples,34109,FL,(239) 566-7100,Hadinger.com,Tom Hadinger,tomh_hadinger@yahoo.com,"Tom Hadinger,Paul Demarais,",Paul Demarais
Air Base Carpet Mart Inc,230 N Dupont Hwy,New Castle,19720,DE,(610) 363-5017,http://www.airbasecarpetandtile.com/,Michael Longwell,rugnroll@aol.com,",Dan Parker,Jeanie",dparker@carpetmart.com
Paulson,13545 NW Science Park Dr.,Portland,97229,OR,(503) 235-8711,www.paulsonsfloorcovering.com,,,"Lloyd Shipman,,Lloyd",
Rusmur Floors,500 Station St,Bridgeville,15017,PA,(412) 221-6366,rusmurfloors.com,rick murray,rick@rusmurfloors.com,"rick murray,john murray,rick murray",john murray
Bode Floors,9305 Gerwig Lane,Columbia,21046,ML,(410) 381-5900,www.bodefloors.com,Chuck Bode,chuckbode@cbflooring.com,"Michele Amedeo,Michele Amedeo,Ellen Liber",micheleamedeo@cbflooring.com
Mill Creek Carpet and Tile,6845 E 41st St,Tulsa,74145,OK,(918) 621-4000,http://www.millcreekcarpet.com/ne-oklahoma/tulsa41st,Jack Rodden,,",Gary Grey,",garyg@millcreekcarpet.com
Floor Store,1460 Concord Ave,Concord,94520,CA,(510) 527-3203,www.floorstores.com,Larry Flick,Larryf@Floorstores.com,",Bret Lowder,",BretL@Floorstores.com
Baker Brothers,3719 E Bell Rd,Phoenix,85032,AZ,(602) 493-5780,www.bakerbros.com,Phil Koufidakis,philk@bakerbos.com,"Maggie Henry,Craig Washington,Maggie Henry",craigw@bakerbros.com
Levi 4 Floors,6329 Busch Blvd,Columbus,43229,OH,(614) 846-4441,www.levis4floors.com,Tom Levi,tlevi@levis4floors.com,"Tom Levi,Tom Levi,Tom Levi",tlevi@levis4floors.com
Sergenian`s Floor Coverings,2805 W Beltline Hwy,Madison,53713,WI,(608) 271-1111,http://www.sergenians.com/,Jim Garner,jimg@sergenians.com,"Bob Steinberg,Mark Maly,Bob Steinberg",markm@sergenians.com
Brewer Carpet & Design Center,801 W 15th St,Edmond,73013,OK,(405) 340-5140,www.brewercarpetoneedmond.com,Tom Brewer,,"Tom Brewer,John Randall,",
Nonn's Design Showplace,W1707 Hwy 164 S,Waukesha,53186,WI,(608) 836-8833,http://www.nonnsdesignshowplace.com/,Adam Nonn,anonn@nonnsflooring.com,"Joe,Joe Laskiewitz,Kelly",jlaszkiewicz@nonnsflooring.com
SSC corp,11335 Meredith Dr,Urbandale,50322,IA,(515) 270-0087,N/A,Dan Stalzer,dans@flooring-gallery.com,"Joe Stalzer,Joe Stalzer,Joe Stalzer",jstalzer@flooring-gallery.com
Hall's Flooring,3300 Monroe Rd,Charlotte,28205,NC,(704) 376-8501,http://www.hallsflooring.com/,Keith Dunn,hkdunn50@yahoo.com,"KEITH DUNN,Keith Dunn,KEITH DUNN",hkdunn50@yahoo.com
EMW Carpet & Furniture,2141 South Broadway,Denver,80210,CO,(303) 744-2754,www.emwcarpets.com,Eric and Claudia Helmstaedter,claudia@emwcarpets.com,"Eric Helmstaedter,Eric,Eric Helmstaedter",
Carpet One Tucson,2726 E Ft. Lowell,TUCSON,85716,AZ,(520) 327-6838,www.tucsoncarpetstore.com,Dave Lucas,dlucas@carpetonetucson.com,"Dave Lucas,Windy Baker,Dave Lucas",wbaker@carpetonetucson.com
Elte Carpets Ltd,80 Ronald Ave,Toronto,M6E 5A2,ON,(416) 785-7885,http://www.elte.com/,ken metick,kmetrick@elte.com,"ken metrick,,ken metrick",
Carpet One of San Ramon Floor & Home,1985 San Ramon Blvd,San Ramon,94583,CA,(925) 837-3716,http://www.carpetoneofsanramon.com/,Tony Leonard,tleonard@carpet1sr.com,"Tony Leonard,Greg Gibbert,Tony Leonard",ggibbert@carpet1sr.com
Abbey Carpet Of Naples LLC ST1220,13250 Tamiami Trail North,Naples,34110,FL,(239) 596-5959,www.naples.abbeycarpet.com,Phil Guitterrez,pguitterrez@abbeycarpet.com,"Gene Presson,Gene Presson,Gene Presson",gpresson@abbeycarpet.com
Carpet Den Interiors,264 Mallory Station Rd Ste 1,Franklin,37064,TN,(615) 771-0128,www.carpetden.com,,,"Keith Earp,Keith Earp,",Keith Earp
Jack's Carpet,8433 Gulf Freeway,Houston,77017,TX,(713) 640-1114,Jackscarpet.com,Jack Fitzpatrick SR,JackSr@jackscarpet.com,"Jack Fitzpatrick,Kurt Duitsman,",Kurt.Duitsman@Jackscarpet.com
Myers Carpet,1500 Northside Dr,Atlanta,30318,GA,(404) 352-8141,myerscarpet.com,Ray Myers,,"Chris Fonville,,Chris Fonville",
Britts Carpet One,3293 Stone Mountain Hwy,Snellville,30078,GA,(770) 972-2808,N/A,Dianne Britt,jamie@britts.com,"Dianne,,",
Carpet One,2001 Coit Road Suite 301,Plano,75075,TX,(972) 596-5556,http://www.carpetoneplano.com/,,,",Tom Crowl,",tomc@floorsinc.com
Landry & Arcari,63 Flint St,Salem,1970,MA,(978) 744-5909,landryandarcari.com,Jerry Arcari,jerry@landryandarcari.com,"Julie Arcari,Jeff Arcari,Julie Arcari",jeff@landryandarcari.com
Marshall Carpet,1451 SOM Center Rd.,Mayfield Hts.,44124,OH,(440) 449-4977,marshallcarpet.com,Chuck Wien,cwien@marshallcarpet.com,"Mark Wien,,Mark Wien",
Giant Floor & Wallcovering,1345 Hwy 315,Wilkes Barre,18702,PA,(570) 825-3435,www.giantfloor.com,Peter Rubando,prubandosouth@comcast.net,"Peter Rubando,Alice Fassett,",alicefassett@hotmail.com
California Carpet,1197 Folsom Street,San Francisco,94103,CA,(415) 487-3636,WWW.Calfloor.com,John Wilson,JWilson@Calfloor.com,"John Wilson,,John Wilson",
Naffco,1510 S Macdill Ave,Tampa,33629,FL,(813) 254-4066,http://www.naffco.biz/,,,",Rick Saa,",Rick Saa
Carpet Trends,5 Smith Street,Rye,10580,NY,(914) 967-5188,carpettrends.com,Rob Rodgers,robr@carpettrends.com,"John Burns,John Burns,",johnb@carpettrends.com
Carpet Exchange,4901 Alpha,Dallas,75244,TX,(972) 385-3545,http://www.carpetexchangeonline.com/,Clyde Cumby,crptx@aol.com,"Clyde Cumby,,Clyde Cumby",
Crest Wholesale Carpet Distributors,6412 Hamilton Blvd,Allentown,18106,PA,(610) 395-3395,www.crestcarpet.com,Steve Weisberg,sweisberg@crestcarpet.com,"Steve Weisberg,Cheri Chinnici,Steve Weisberg",cchinnici@crestcarpet.com
Russell-Martin and Son,663 N. Washington St,Naperville,60563,IL,(630) 961-1312,www.rmcarpets.com,Dave Martin,dmartin@rmcarpets.com,"Dave Martin,Dave Martin,Dave Martin",dmartin@rmcarpets.com
Lehms Inc/Carpetland,4301 Industrail Ave.,Lincoln,68504,NE,(402) 467-6363,www.carpetlandonline.com,Jeff Lehms,lehms4301@aol.com,"Jeff Lehms,Greg Gose,Jeff Lehms",lehms4301@aol.com
Florcraft Inc.,1991 Fox Ave.,Fairbanks,99701,AK,(907) 452-1423,N/A,,,"Wayne Miller,,Wayne Miller",
A & M Flooring America,160 E Bullard Ave.,Fresno,93710,CA,(559) 448-1000,amcarpet.com,Lee Horwitz,chiamleb18@aol.com,"Lee Horwitz,,Lee Horwitz",
Luna Flooring Gallery,1253 E. Golf Rd,Schaumburg,60173,IL,(630) 848-1155,www.luna.com,Morrie DeZara,mdezara@luna.com,"Morrie DeZara,Steve Kritz,Morrie DeZara",
Brentwood Carpets Inc,4600 Paragon Park Road,Raleigh,27616,NC,(919) 872-2775,http://www.brentwoodcarpets.com/,,,"Harry Harles,,Harry Harles",
HJ Martin,320 S Military Ave,Green Bay,54303,WI,(920) 494-3461,http://www.hjmartin.com/,Edward Martin,,"Randy Krause,Randy Krause,Randy Krause",randy@hjmartin.com
Ruggs Benedict,810 Nottingham Rd,Avon,81620,CO,(970) 949-5390,www.ruggsbenedict.com,Roger Benedict,rbenedict@ruggsbenedict.com,"Roger Benedict,GiGi Lepley,Roger Benedict",glepley@vail.net
J P FLOORING DESIGN CENTER,9097 UNION CENTRE BLVD,WEST CHESTER,45069,OH,(513) 346-4300,jpflooring.com,Phil Schrimper,pschrimper@jpflooring.com,",Rick Ianetti,",Rick Ianetti
Fishers Floor Covering,1572 Wilmington Pike,West Chester,19382,NY,(610) 558-0900,N/A,Lee Fisher,,",Lee Fisher,",Lee Fisher
Kerns Carpets,19655 West Bluemound Rd,Brookfield,53045,WI,(262) 782-4500,http://www.kernscarpets.com/,Bill Kerns,billk@kernscarpets.com,"Bill Kerns,Mark Hefflefinger,Bill Kerns",
Prestige Carpets,23351 Avenida de la Carlota,Laguna Hills,92653,CA,(949) 768-7445,http://www.occarpet.biz/,Jim Winn,,"Jim Winn,,Jim Winn",
Rocklin Carpet One Floor & Home,6506 Lone Tree Blvd.,Rocklin,95765,CA,(916) 782-1188,http://www.rosevillecarpetonerocklin.com/,Earl Mann,,"Mark Knasko,Mark Knasko,Earl Mann",mknasko@aol.com
We`ll Floor U,951 Alternate A1A,Jupiter,33477,FL,(561) 744-2750,www.wellfloorufla.com,Steve DeSmit,wellfloorujup@aol.com,"Steve DeSmit,Micheal Strahan,Steve DeSmit",
MIKES CARPET OF VIRGINIA INC,4425 BROOKFLD CORP DR STE-300,CHANTILLY,20151,VA,(703) 802-3485,www.mikescarpetdesign.com,Mike,rbeahm@mikescarpet.net,",Bob Beahm,",rbeahm@mikescarpet.net
Macco's Flooring Inc,2035 Larsen Road,Green Bay,54303,WI,(920) 432-5501,http://www.maccosflooring.com/,Jim Walters,jimw@maccosflooring.com,",Jim Walters,",
JB Factory Carpets,3100 22nd Ave North,St. Petersburg,33713,FL,(727) 322-5757,www.rugsrus.biz & www.jbfactorycarpet.com,Bill Boukalis,,",Bill Boukalis,",Bill Boukalis
Floors*USA,555 S. Henderson Road,King of Prussia,19406,PA,(610) 757-4000,www.floorsusa.com,MIchael Erlbaum,,",Janice Giadano,",JG@floorsusa.com
Mid West Floor Co,2714 Breckeridge Industrial Ct,St Louis,63144,MO,(314) 647-6060,www.mid-westfloor.com,Vergil Hendricks,,"Herb Olmsted,Herb Olmsted,Herb Olmsted",herb@mid-westfloor.com
Ernies In Ceresco,318 South 2nd Street,Ceresco,68017,NE,(402) 665-3151,www.erniesinceresco.com,Dean Swanson,dswanson@erniesinceresco.com,"Jerry Taff,Jerry Taff,Jerry Taff",jtaff@erniesinceresco.com
Rochester Linoleum & Carpet,2850 West Ridge Road,Rochester,14626,NY,(585) 396-2707,http://www.rochesterlinoleumncarpetone.com/,albert pelusio,,"albert pelusio,,albert pelusio",
Coyle Carpet,250 W. Beltline Hwy,Madsion,53713,WI,(608) 257-0291,http://www.coylecarpetonemadison.com/,Pat Coyle,,"Tom Coyle,Tom Coyle,Tom Coyle",
Floortech,10180 Washington Ave,Sturtevant,53177,WI,(262) 554-4645,,David Hawes,dhawes@floortechwi.com,"David Hawes,,David Hawes",
Halpins Carpets,7740 Greenwill Springs,Baton Rouge,70814,LA,(504) 927-8741,http://www.halpinsflooringbatonrougela.com/contact-us,RUSS HALPIN,,",LARRY THIBODEAUX,",LARRY THIBODEAUX
Runyon`s Furniture & Floor Covering,1975 N. Monroe Street,Monroe,48161,MI,(734) 242-2836,N/A,Tony Runyon,tprunyon@yahoo.com,"Tony Runyon,Tony Runyon,Tony Runyon",
Dalton Carpet One,3690 Atlanta Hwy Ste 108,Athens,30606,GA,(706) 353-0547,www.daltoncarpetone.com,Mike Blanton,mblanton@daltoncarpetone.com,"Mike,,Mike",
Strathmore Floors,"50 E Great Southwest Pkwy, SW",Atlanta,30336,GA,(404) 872-0024,strathmorefloors.com,Gerald Lyle,,"Gerald,,Gerald",
Barb - Lin Carpet One,640 N Main St,Doylestown,18901,PA,(215) 348-8116,,Lin Bosler,Floors@barb-lin.com,",Lin Bosler,",Floors@barb-lin.com
Apelian Carpets,2900 Central Street,Evanston,60201,IL,(847) 328-9500,www.apeliancarpets.com,George Apelian Sr,,"George Apelian Sr,George Apelian Jr.,George Apelian",gapelian@Yahoo.com
Powers Carpet One,71-685 Hwy 111,Rancho Mirage,92270,CA,(760) 346-0523,linda@powerscarpetone.com,Gray Powers,gary@powerscarpetone.com,"Gary Powers,Linda Lauden,Gary Powers",Linda Lauden
Floors of Distinction,12642 Bass Lake Road,Maple Grove,55369,MN,(763) 553-1800,www.floorsofdistinction.com,Bruce Beaudoin,bbeaudoin@floorsofdistinction.com,",Bruce Beaudoin,",bbeaudoin@floorsofdistinction.com
Dillabaughs Flooring America,2895 South Federal Way,Boise,83705,ID,(208) 287-2450,http://www.dillabaughsflooringamerica.com/,Cal Dillabaugh,,"Casey Dillabaugh,Casey Dillabaugh,Casey Dillabaugh",Casey Dillabaugh
Stevens Carpet One,207 East Carroll St,Carrollitown,15722,PA,(814) 344-8414,stevenscarpetone.com,Sam Stevens,samcpt1@comcast.net,"Sam Stevens,,",
FREDS RUG SERVICE,2153 W TORRANCE BLVD,TORRANCE,90501,CA,(310) 533-8133,,Jerry Butler,freds@fredscarpetsplus.com,"Jerry Butler,,Jerry Butler",
Rotmans Furniture & Carpet,725 Southbridge St,Worcester,1610,MA,(508) 755-5276,www.rotmans.com/,Barry Rotman,barryrotman@rotmans.com,"Paula Davis,Paula Davis,Paula Davis",pdavis@rotmans.com
Jacobi's Carpet One,236 N Denver,Hastings,68901,NE,(402) 463-3811,www.carpetone.com/jacobis,Tim Jacobi,jc14626@windstream.net,"Tim Jacobi,Tim Jacobi,Tim Jacobi",Tim Jacobi
