name,address,city,state,postal,phone,websites
COLES,71685 HIGHWAY #111,RANCHO MIRAGE,CA,92270,(760) 346-0523,www.coles.com.au/
SUNSET FLOOR COVERING INC,3500 EAST COAST HWY,CORONA DEL MAR,CA,92625-2402,(949) 675-1636,not found
"STYLER'S FLOOR COVERING, INC.",130 WEST GRAND AVENUE,EL SEGUNDO,CA,90245,(310) 322-7254,NOT FOUND
EDDIE EGAN & ASSOCIATES,1011 W. TAFT AVE.,ORANGE,CA,92865,(714) 279-6799,http://www.eddieegan.com/
DESIGN SPEC INC,129 FIRST STREET,LOS ALTOS,CA,94022,(650) 917-8910,http://www.designspecialistsinc.com/
PLAZA CARPET COMPANY,9563 W PICO BLVD,LOS ANGELES,CA,90035,(310) 553-0971,NOT FOUND
DECORATIVE CARPETS INC,8256 MELROSE AVE.,LOS ANGELES,CA,90046,(323) 653-5555,http://decorativecarpets.com/
CYMRU TRADING INC,4617 CRENSHAW BLVD,LOS ANGELES,CA,90043,(323) 295-7731,www.crenshawcarpet.com
APRAMIAN CARPETS,101 KALMUS DRIVE,COSTA MESA,CA,92626,(714) 434-8440,http://www.hartsrugs.com
COLES OF LA JOLLA,1000 WEST GRAND AVENUE,OAKLAND,CA,94607,(510) 652-1032,not found
"STERLING INTERIORS, INC.",2532 E. COLORADO BLVD,PASADENA,CA,91107,(626) 793-4477,www.sterlinginteriors.net
CREATIVE TOUCH INTERIORS,1170 WEST MORENA BLVD,SAN DIEGO,CA,92110,(619) 276-5140,www.creativetouchinteriors.co.uk
B L & L CORPORATION,17472 VENTURA BLVD,ENCINO,CA,91316,(818) 995-6566,Not found
DRAPERY WORLD,874 VIA DE LAPAZ,PACIFIC PALISADES,CA,90272,(310) 454-0697,Not found
THE CARPET DEALER,1985 SAN RAMON VALLEY BLV,SAN RAMON,CA,94583,(925) 837-3716,www.carpetoneofsanramon.com
CARPET VAN INC,14736 OXNARD STREET,VAN NUYS,CA,91411,(818) 988-9366,http://www.vanscarpets.com/
E M W FURNITURE CO INC,423 MAIN ST,WOODLAND,CA,95695,(530) 666-5825,no website found
CARPET SHOPPE OF DARIEN INC,6367 E ARAPAHOE,BOULDER,CO,80303,(303) 449-0011,Not found
SULLIVAN & SON CARPET INC,2141 S BROADWAY,DENVER,CO,80210,(303) 744-2754,www.sullivanandsoncarpet.com/
DORELLO CARPETS & AREA RU,39 TOKENEKE RD,DARIEN,CT,6820,(203) 655-2521,Not found
CARPETLAND OF NEW ENGLAND,92 SANFORD STREET,HAMDEN,CT,6514,(203) 281-3022,http://www.carpetlandct.com/
FLOOR COVERING WAREHOUSE,594 MAIN AVENUE,NORWALK,CT,6851,(203) 847-0335,www.floorcoveringwarehouse.org
CARPET CITY INC,176 WEST MAIN,AVON,CT,6001,(860) 677-7072,NOT FOUND
COLONIAL BRANDYWINE RUG CO.,112 ORCHARD STREET,STAMFORD,CT,6902,(203) 323-3113,www.floorcoveringwarehouse.org
PALA TILE & CARPET CONTRACTORS,1555 BLACK ROCK TURNPIKE,FAIRFIELD,CT,6824,(203) 331-8771,http://www.ultratile.com
"SMITH CHARLES ASSOCIATES, INC.",2107 CONCORD PK.,WILMINGTON,DE,19803,(302) 656-5496,Not found
