name,phone,address,city,state,postal,primary_email,website,owner_first,owner_last,owner,sources_count,sources,source1,source2,source3,source4,source5,source6,source7,contacts_count,contact1_first,contact1_last,contact1,contact2_first,contact2_last,contact2,contact3_first,contact3_last,contact3,other_emails_count,other_email1,other_email2,other_email3
HOMESTEAD,(303) 898-6330,712 N 16TH ST,BISMARCK,North Dakota,58501,,,Kent,Meier,Kent Meier,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MASON CONTRACTING INC,(425) 742-4144,532 132ND ST SW,EVERETT,Washington,98204,,,Karen,Mason,Karen Mason,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
T E C,(800) 323-7407,1105 S FRONTENAC ST,AURORA,Illinois,60504,,,Mike,Kroll,Mike Kroll,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
BRANDT CARPET & TILE,(402) 947-6711,101 MAPLE,FRIEND,Nebraska,68359,,,Roger,Brandt,Roger Brandt,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
ABC CARPETS,(212) 473-3000,888 BROADWAY,NEW YORK,NY,,onlinestore@abchome.com,"www.abchome.com/,",Paulette,Cole,Paulette Cole,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,2,paulette@abchome.com,paulette@abchome.com,
FLOORS INC.,(757) 490-0000,4968 VIRGINIA BEACH BLVD.,VIRGINIA BEACH,VA,,N/A,"www.floorsinc.com/,",John,Cecil Law III,John Cecil Law III,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,1,admin@carpetsbyjclaw.com,,
HARBOR FLOOR COVERING,(248) 681-6460,3021 ORCHARD LAKE ROAD,KEEGO HARBOR,MI,,n/a,"http://www.harborfloors.com,",Greg,Bockart,Greg Bockart,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,1,GBOCKART@HARBORFLOORS.COM,,
KENT ISLAND ABBEY FLOOR,(410) 643-6752,P O BOX 56,STEVENSVILLE,MD,,N/A,"http://stevensville.abbeycarpet.com,",Eugene,Beville,Eugene Beville,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,0,,,
KISERS FLOOR FASHION,(901) 458-8000,3050 WALNUT GROVE ROAD,MEMPHIS,TN,,N/A,"www.kisers.com,",Marty,Kiser,Marty Kiser,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,0,,,
JERRY L. HALL,(763) 497-4407,5358 QUAM CIR NE,ST MICHAEL,MN,,N/A,"not found,http://www.focalpointflooring.com/,",Karen,Melanson,Karen Melanson,5,"consolidated,johanna,fabrica,masland,naics",consolidated,johanna,fabrica,masland,naics,,,0,,,,,,,,,,0,,,
MOORMANS DISTINCTIVE,(405) 848-4888,3835 N W 63RD STREET,OKLAHOMA CITY,OK,,N/A,"http://moormanscarpets.com/area_rugs_and_carpet/,",Jim,Schrempp,Jim Schrempp,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,0,,,
NORIEGA FURNITURE,(415) 564-4110,1455 TARAVAL STREET,SAN FRANCISCO,CA,,N/A,"www.noriegafurniture.com,",Michael,Vorperian,Michael Vorperian,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,0,,,
PAULS DIST. CO.,(954) 763-6904,700 N E 13TH STREET,FT. LAUDERDALE,FL,,N/A,"http://www.paulscarpet.com/,",Hank,Norwell,Hank Norwell,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,1,paulshenry01@bellsouth.net,,
PERFORMERS CARPET & TILE,(630) 665-7533,P O BOX 272,BLOOMINGDALE,IL,,N/A,"www.performersflooring.com,",John,Psyhos,John Psyhos,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,1,-,,
WAGNER CARPET CO.,(707) 542-5700,400 HUMBOLDT STREET,SANTA ROSA,CA,,office@wagnercarpet.com,"http://www.wagnercarpet.com/,",Douglas,Wagner,Douglas Wagner,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,1,wagnercarpet@sbcglobal.ne,,
WAREHOUSE DIRECT FLOORING INC,(808) 331-8801,74-5606 PAWAI PLACE BAY 11,KAILUA-KONA,HI,,N/A,"www.flooringwarehousedirect.com/,",Frank,Giubardo,Frank Giubardo,4,"consolidated,johanna,fabrica,naics",consolidated,johanna,fabrica,naics,,,,0,,,,,,,,,,0,,,
DESIGNERS NORTH CARPET INC,(516) 484-6161,ONE ALBERTSON AVENUE,ALBERTSON,NY,11507,,not found,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
THE CARPET BOUTIQUE,(305) 445-1939,4103 PONCE DE LEON BLVD,CORAL GABLES,FL,33146,,www.thecarpetboutique.com,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
LAHAINA CARPET,(808) 661-4268,1036 LIMAHANA #3L,LAHAINA,HI,96761,,http://www.manta.com/c/mm7v9h1/lahaina-carpet-interiors-inc,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
"CARPETMASTER OF LATHAM, LTD.",(518) 435-9544,110 RAILROAD AVENUE,ALBANY,NY,12205,,www.carpetmastercarpetonelatham.com/,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
CAP CARPET SALES INC.,(651) 636-2617,1449 1ST AVE NW,NEW BRIGHTON,MN,55112,,http://www.capcarpet.com/,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
PEERLESS RUG COMPANY,(773) 525-9034,3033 NORTH LINCOLN AVE,CHICAGO,IL,60657,,http://peerlessrugcompany.com,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
"WALLFLOWERS, INC.",(509) 534-5064,2820 E. 30TH,SPOKANE,WA,99223,,shopwallflowers.com/,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
WDN ENTERPRISES,(760) 321-8600,67-615 E PALM CANYON DR,CATHEDRAL CITY,CA,92234,,not found,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
THE FLOOR STORE INC,(510) 559-1235,5327 JACUZZI ST STE 2A,RICHMOND,CA,94804,,thefloorstoreinc.com/,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
GREAT FLOORS LLC,(206) 624-7800,524 E SHERMAM AVE,COEUR D ALENE,ID,83814,,www.greatfloors.com,,,,2,"fabrica,naics",fabrica,naics,,,,,,0,,,,,,,,,,0,,,
MID TEX OF MIDLAND INC,(432) 697-2282,,MIDLAND,TX,,N/A,"www.midtexofmidland.com,",Alan,White,Alan White,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,alan@midtexofmidland.com,alan@midtexofmidland.com,
JEK CARPET CORPORATION,(305) 591-4141,,DORAL,FL,,N/A,"http://www.dolphincarpet.com/,",Jeff,Katz,Jeff Katz,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,Jeff.Katz@dolphincarpet.com,Jeff.Katz@dolphincarpet.com,
HOFFMANN FLOORS INC,(830) 625-2629,,NEW BRAUNFELS,TX,,N/A,"http://www.hoffmannfloors.com,",Wayne,L. Hoffmann,Wayne L. Hoffmann,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
STRAIT FLOORS,(360) 683-4343,,SEQUIM,WA,,chadcopeland@hotmail.com,"http://straitfloors.com/,",Chad,"Copeland , Steve Wilson","Chad Copeland , Steve Wilson",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,ccopeland@straitfloors.com,steve.wilson@straitfloors.com,
HARPENAU ENTERPRISES INC,(574) 269-4443,,WARSAW,IN,,vanessa@whitesflooring.com,"http://whitesflooring.com/,",Bill,Harpenau,Bill Harpenau,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,bill@whitesflooring.com,bill@whitesflooring.com,
SUPREME CARPET SALES INC,(989) 684-8888,,BAY CITY,MI,,corp@supremefloors.com,"http://supremefloors.com/,",Thomas,Meirow Kiwanis,Thomas Meirow Kiwanis,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
LEE APPLIANCE CO INC,(518) 563-0900,,PLATTSBURGH,NY,,valerie@leeappliance.com,"http://www.leeappliance.com/,",Gary,Bertrand,Gary Bertrand,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,sales@leeappliance.com,sales@leeappliance.com,
AFFORDABLE FLRS OF NY INC,(845) 565-2000,,NEWBURGH,NY,,kkranec@affordable-floors.com,"http://www.affordable-floors.com/,",Marc,Horowitz,Marc Horowitz,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,mhorowitz@affordable-floors.com,mhorowitz@affordable-floors.com,
NIC/LOR FLOORS,(703) 968-6498,,CHANTILLY,VA,,"N/A,","http://www.nic-lorfloors.com/,",Gary,Swinea,Gary Swinea,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,garyswinea@nic-lorfloors.com,garyswinea@nic-lorfloors.com,
CAROLS CARPET INC,(334) 272-5400,,MONTGOMERY,AL,,susan@carolscarpet.com,"http://carolscarpet.com/,",Lee,Courson,Lee Courson,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
SMILIN SAMS INC.,(573) 459-6483,,NEW HAVEN,MO,,N/A,"http://www.smilinsams.net/,",Bruce,Adams,Bruce Adams,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
MC NABB DONALD E COMPANY INC,(248) 437-8146,,MILFORD,MI,,N/A,"http://www.demcnabb.com/,",Douglas,McNabb,Douglas McNabb,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,dmcnabb@demcnabb.com,dmcnabb@demcnabb.com,
D & F CARPET STORE PLUS,(912) 756-6868,,RICHMOND HILL,GA,,info@carpetstoreplus.com,"http://carpetstoreplus.com/,",Tracey,Winters,Tracey Winters,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,tracey@carpetstoreplus.com,tracey@carpetstoreplus.com,
FLEMING CARPET DISTRIBUTORS,(770) 420-3009,,MARIETTA,GA,,n/a,"http://www.flemingcarpet.com/,",Albert,Fleming,Albert Fleming,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
TROY CARPET INC,(636) 528-5242,,TROY,MO,,N/A,"http://www.troyfurnitureco.com/,",Bryce,Harris,Bryce Harris,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,bryce@troyfurnitureco.com,bryce@troyfurnitureco.com,
FURNITURE DISTRIBUTORS INC,(520) 296-5411,,TUCSON,AZ,,jenny@apolloflooring.com,"http://www.apolloflooring.com/,",Gus,Fotinos,Gus Fotinos,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
GRAND STRAND FLOORS INC,(843) 626-3226,,MYRTLE BEACH,SC,,n/a,"http://www.grandstrandfloors.com/,",Tom,& Anne Brophy,Tom & Anne Brophy,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,gsfloors@gmail.com,gsfloors@gmail.com,
A C & FLOOR DECOR INC.,(760) 726-9777,,OCEANSIDE,CA,,action@floordecor.org,"http://www.floordecor.org/,",Hassan,Kany,Hassan Kany,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
CORVINS FURNITURE & CARPET LLC,(502) 348-7474,,BARDSTOWN,KY,,corvinsflooring@bellsouth.net,"http://www.corvinsofbardstown.com/,",Mark,E. Corvin,Mark E. Corvin,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
CARPET CASTLE INC,(716) 675-9191,,WEST SENECA,NY,,carpetcastledave@aol.com,"www.flooringcastle.com/,",Bernice,Katz,Bernice Katz,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
RANOBI CORPORATION,(850) 763-1700,,PANAMA CITY,FL,,"N/A, sales@carpetconnectionpc.com","http://www.carpetconnectionpc.com/ , http://www.corporationwiki.com/Florida/Panama-City/ranobi-corporation-6175653.aspx,",Ralph,Vogler,Ralph Vogler,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
JAMIES CARPETSHOP INC,(440) 986-2469,,SOUTH AMHERST,OH,,N/A,"http://www.jamiescarpetshop.com/,",Chris,Zeitier,Chris Zeitier,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
SAIL-ON CARPETS INC,(585) 352-1170,,SPENCERPORT,NY,,N/A,"http://www.sailoncarpets.com,",Michael,Pavone,Michael Pavone,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,michael@sailoncarpets.com,michael@sailoncarpets.com,
JIMELLE INC,(260) 925-9999,,CORUNNA,IN,,N/A,"http://www.jimelleflooring.com,",James,"Phillips , Jarrod Phillips","James Phillips , Jarrod Phillips",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
FURR HENDRON ENTERPRISES,(928) 774-6700,,FLAGSTAFF,AZ,,info@highlandsfloorcoverings.com,"http://www.highlandsfloorcoverings.com/,",Mark,Furr,Mark Furr,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,mark@highlandsfloorcoverings.com,mark@highlandsfloorcoverings.com,
CARPETIME INC,(330) 478-2107,,MASSILLON,OH,,"joel2@carpetime.com 
carpetimebelden@sbcglobal.net","www.carpetime.com,",Joel,Primack Sr.,Joel Primack Sr.,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,joel2@carpetime.com,joel2@carpetime.com,
CARPET & FLOOR EXPRESS INC,(301) 231-7355,,ROCKVILLE,MD,,carpetexp@verizon.net,"http://www.carpetandfloorexpress.com/,",,,-,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
INDEPENDENT PAINT & FLOORING,(507) 345-7009,,MANKATO,MN,,ipaf@hickorytech.net,"http://independentpaintandflooring.com/,",Gordon,Lee Stevens,Gordon Lee Stevens,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
THE FLOORING PLACE,(406) 587-7472,,BOZEMAN,MT,,N/A,"www.theflooringplace.net/,",Jon,Moullet,Jon Moullet,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
INTERIOR DESIGN INC,(608) 526-3386,,HOLMEN,WI,,N/A,"http://interiordesignswi.com,",Ray,Hale Jr.,Ray Hale Jr.,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,rayh@interiordesignswi.com,rayh@interiordesignswi.com,
FCB INC,(231) 946-3661,,TRAVERSE CITY,MI,,N/A,"http://www.floorcoveringbrokers.com,",Denny,Lauterbach,Denny Lauterbach,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,dlauter@floorcoveringbrokers.com,dlauter@floorcoveringbrokers.com,
REAM INC,(831) 583-9124,,SAND CITY,CA,,info@reamcon.com,"http://www.reamcon.com/,",Terry,"Ream , Theresa Ream","Terry Ream , Theresa Ream",4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,Theresa@reamcon.com,Theresa@reamcon.com,
FLAGSHIP FLOORS INC,(281) 332-2272,,LEAGUE CITY,TX,,N/A,"www.flagshipfloors.com/,",Mary,Jane Dorman,Mary Jane Dorman,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,maryjane0614@comcast.net,maryjane0614@comcast.net,
H & H CARPETS INC,(478) 922-7747,,WARNER ROBINS,GA,,mark.holt@hh-carpets.com,"http://www.handhcarpets.com,",Mark,Holt,Mark Holt,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,mark.holt@hh-carpets.com,mark.holt@hh-carpets.com,
