name,city,state,postal,phone,website,owner
CARPET LIQUIDATORS,LINTHICUM HEIGHTS,MD,21090,(410) 789-1155,http://www.baltimorecarpets.com,"STEVE, RANDY"
CARPET CONSULTANTS INC,TOWSON,MD,21204,(410) 321-9771,http://www.carpetconsultantsmd.com,STEVE WEIDNER
WAYNE WILES,FORT MYERS,FL,33901,(999) 999-9999,http://www.waynewiles.com,
BIG BOB'S USED CARPET,CINCINNATI,OH,45215,(513) 771-2345,N/A,
CARPET CITY INC,FARGO,ND,58103,(701) 235-7525,http://www.carpetworldfargo.com/,
COUNTRY CARPET & MORE,CHILLICOTHE,MO,64601,(316) 395-2141,N/A,"RICHARD & MILES,MIKE S"
CARPET DEN INC,FRANKLIN,TN,37067,(615) 771-0128,www.carpetden.com,RICKY MCCORMICK
KEVCO CARPETS & VINYL INC,HERMITAGE,TN,37076,(615) 871-0001,http://www.kevcocarpet.com/default.aspx,"KEVIN EARLY, PRESIDENT"
SUMMIT FLOORS/RETAIL,HOUSTON,TX,77032,(713) 224-2544,http://www.summitfloors.com/,
HAYNES FURNITURE CO INC,VIRGINIA BEACH,VA,23462,(757) 497-9681,http://www.haynesfurniture.com/,KAPPY
TAYLOR FLOORING LTD,BRIDGEWATER,CN,B4V 3T2,(902) 543-7673,www.taylorflooring.com/,
THORNTON CARPET INC,SIOUX FALLS,SD,57108,(605) 368-2568,http://www.thorntoncarpets.com,
H & T CARPET INC,MADISON,TN,37116-0533,(615) 865-8595,www.htcarpetinc.com,"HARRY A.TARPLEY,JR. PRES"
INTEGRITY CARPET INC,KENNER,LA,70062,(504) 712-5485,http://www.integritycarpetsales.com/,RICARDO F/PRES
S C I FLOOR COVERING INC,SOUTHFIELD,MI,48075,(248) 359-3500,http://www.scifloorcovering.com/,"DAVE ELBERSON, MARKETING"
ROYAL FLOORINGS & PAINTS,ALTOONA,IA,50009-2589,(515) 957-9738,http://www.royalflooringandpaints.com/,MIKE PEARSON/PRES
LEHMS INC,LINCOLN,NE,68504,(402) 467-6363,http://www.carpetlandonline.com/,SAME
ASK CONTRACT FLOORING INC,VALRICO,FL,33596,(813) 628-9630,http://Flooringamericafl.com/,RUFUS N ASHBY-PRES
SPEIDEL FLOORING LLC,SPENCER,IA,51301-5597,(712) 580-4400,http://nwiowaflooring.com/,
WATKINS FLOOR COVERING,JACKSONVILLE,NC,28540,(910) 347-7704,www.watkinsnewfloor.com,
STINSON CARPETS INC,LAKELAND,FL,33801,(863) 665-4434,http://www.stinsoncarpets.com/,"BILL& RANDY STINSON,DAN,"
WHOLESALE CARPET DESIGNS INC,VERNON HILLS,IL,60061,(847) 415-2000,http://wholesalecarpetdesign.com/,
MC DONNELL JOSEPH ENT,ORCHARD PARK,NY,14127,(716) 674-0678,N/A,MIKE MARTIN
WESTBORO FLOORING & DECOR INC,NEPEAN,CN,K2E 7K3,(613) 226-3830,http://www.westboroflooring.com/,STEVEN KIMMEL
BUDGET CARPET DESIGN L L C,DEARBORN,MI,48126,(313) 581-6800,N/A,GEORGE LAKKIS  PART OWNER
CREATIVE FLOORS INC,CASSELBERRY,FL,32707,(407) 265-9566,http://www.creativefloorsinc.com/,ROBERT J CAMPBELL    PRES
NADINE FLOOR CO INC.,PLANO,TX,75074,(972) 424-2525,http://www.nadinefloors.com/,ISMAIL 214 587 3942 CELL
FLOORQUEST LLC,DELAFIELD,WI,53018,(262) 646-2975,http://www.floorquest.net/,
PALM BEACH CARPET INC,FORT LAUDERDALE,FL,33306,(954) 921-5133,http://www.miamicarpet.com/,PHIL LAUX
ASTORIA CARPET,WEST ALLIS,WI,53214,(414) 774-9344,N/A,ALSO SEE ACCT.101286
PRO CARPET INC,SPENCERPORT,NY,14559,(585) 352-5905,http://www.procarpetinc.com/,
LEWIS CARPETS INC,NORTHBROOK,IL,60062,(847) 835-2400,http://www.lewisfloorandhome.com/,DICK & STEVE LEWIS
WOOD BROS FLOOR COVERING,SACRAMENTO,CA,95811-0626,(916) 443-2031,http://woodbrothersfloors.com,GARY WOOD
KREGGER KRAFT LLC,EDMOND,OK,73013-4031,(405) 348-6777,http://kreggers.com/,PAUL KREGGER-OWNER
CARPET WORLD INC,BISMARCK,ND,58504,(701) 258-1968,http://www.carpetworldbismarck.com/,BOB DAUENHAUER
FLOOR SHOW INC,BEDFORD HEIGHTS,OH,44128,(216) 662-5550,www.calvettabrothers.com,"AUSTIN CALVETTA, PRES"
JAMES CPTS OF HUNTSVILLE INC,HUNTSVILLE,AL,35811,(256) 859-9830,N/A,SAME
METRO FLOORS INC,LANCASTER,CA,93534,(661) 942-1185,http://www.metrofloorsinc.com/,D C HALL
REARDONS CARPET CO INC,INDIANAPOLIS,IN,46217-9750,(317) 781-8280,www.reardonscarpets.com,PATRICIA MARTIN PRESIDENT
VARIETY FLOORS OF CARROLL INC,CARROLL,OH,43112,(740) 756-1500,http://www.varietyfloors.com/,
GEORGIA DIRECT CARPETS INC,RICHMOND,IN,47375,(765) 966-2548,http://georgiadirectcarpetinc.com/index.htm,AL BLEDSOE
HALLS INC,CHARLOTTE,NC,28299,(704) 376-8501,http://www.hallsflooring.com/,"KEITH DUNN,TOMMY HALL"
CARPET SPECTRUM INC,MEMPHIS,TN,38108,(901) 386-5207,http://carpetspectrum.net/,BILL BROWNING
CARPETS BY MR JASON INC,MARGATE,FL,33063,(954) 973-4990,http://carpetsbymrjason.com/,HOWARD
CENTURY SUPPLY COMPANY,CHICAGO,IL,60652,(773) 735-6600,http://www.century-tile.com/,ELAINE CARLSON
BRIDGEPORT CARPETS,ALPHARETTA,GA,30004,(770) 740-2306,http://bridgeportcarpets.com/,
EDWARDS CARPET EAST INC,SAINT LOUIS,MO,63132,(314) 993-0808,http://edwardscarpet.com/,SAME
TROTTS QUALITY CARPET,SOUTH DAYTONA,FL,32119-1780,(386) 788-0118,http://www.trottscarpet.com/,THOMAS O TROTT
ALL AMERICAN FLOORING INC,FARMERS BRANCH,TX,75244,(972) 661-3290,www.allamericanflooring.net,
PERFECT FLOORS INC,ROCHESTER HILLS,MI,48307,(248) 650-5199,http://perfectfloorsinc.com/,"JOHN WILLIAMS, PRES/OWNR"
FRANKS FLOOR COVERING,BORGER,TX,79007,(806) 274-3929,http://www.franksfloorcovering.com/,
JP FLOORING SYSTEMS INC,WEST CHESTER,OH,45069,(513) 346-4300,http://www.jpflooring.com/,PHIL SCHRIMPIR
ATLAS SERVICE CENTER,GAITHERSBURG,MD,20877,(301) 924-7331,N/A,STEVE SHAFFER
ONE ON ONE FLOOR COVERING LLC,HAZEL GREEN,AL,35750,(256) 828-7990,http://oneononeflooring.com,JIMMY JONES
JUST CARPETS,HOWELL,NJ,7731,(732) 905-2002,http://www.justcarpetsnj.com/,
KISS CARPET,TRAVERSE CITY,MI,49684,(231) 941-0723,http://www.kisscarpet.com/,
"MCNULTY'S BUILDING SUPPLY,INC.",POTTSVILLE,PA,17901,(570) 544-9414,http://mcnulty.flooringplus.com/,"JIM,JIM JR."
FATHER & SON CARPET INC,MOUNT HOLLY,NJ,8060,(609) 702-8040,http://www.fatherandsonbuilders.com/,HARRY JOLLY
PETERSENS HOUSE OF CARPETS,FREDERICK,MD,21702,(301) 662-6717,http://www.petersenscarpetandflooring.com/,
MILLINGTON FLOOR COVERING INC,MILLINGTON,TN,38053,(901) 872-8940,http://www.millingtonfloorcovering.com/html/home.html,"JOHN C. PETTY, OWNER"
HENNEN FLOOR COVERING,FREEPORT,MN,56331-0278,(320) 836-2177,www.hennenfloor.com,ED HENNEN  STEVE
EXTRA YARD INC THE,AURORA,CO,80014,(719) 636-3200,N/A,BOB BURNS/GEN MGR
CARPET TILE & FLRNG OF TX LP,SAN ANTONIO,TX,78213,(210) 349-1170,N/A,WILLIAM E BLACKMON
WRIGHT L F INC,PONTIAC,IL,61764,(815) 844-7177,http://www.wrights-furniture.com/,GARY WRIGHT
