name,address,city,state,postal,owner,phone,website
Summerlin Floors Inc,322 College St,Amherst,MA,01002-2331,Drew Wendelken,(413) 253-9022,WWW.SUMMERLINFLOORS.COM
Superior Floor Solutions LLC,PO Box 978,Belchertown,MA,01007-0978,Vitaly Anisimov,(413) 427-7671,WWW.SUPERIORFLOORCOVERING.NET
Desrosiers Floor Coverings,1044 Chicopee St,Chicopee,MA,01013-2738,Judy Desrosiers,(413) 538-5239,WWW.DESROSIERSFLOORCOVERING.COM
Advanced Flooring,51 Olea St,Chicopee,MA,01020-1112,John Robillard,(413) 592-5900,WWW.ADVANCEDFLOORSANDING.COM
Bay State Rug Distributors Inc,671 Grattan St,Chicopee,MA,01020-1295,Edward Montemagni,(413) 533-3806,WWW.BAYSTATERUG.COM
Kaoud Brothers Oriental Rugs,98 Lower Wstfeld Rd Ste 1,Holyoke,MA,1040,Abe Kaoud,(413) 534-4415,WWW.KAOUDBROTHERS.COM
American Rug,1594 Dwight St,Holyoke,MA,01040-2356,William Radner,(413) 533-3000,WWW.AMERICAN-RUG.COM
Hampton Flooring Center Inc,15 College Hwy Ste L,Southampton,MA,01073-9397,Chris Sbrega,(413) 527-5279,WWW.HAMPTON.BRANDSOURCE.BIZ
Associated Flooring LLC,48 Lamb St,South Hadley,MA,01075-2960,Mitchell Mercier,(413) 533-3573,WWW.ASSOCIATEDFLOOR.COM
Engineered Flooring Inc,208 College Hwy,Southwick,MA,01077-9255,James Kingsbury,(413) 569-2484,WWW.ENGINEEREDFLOORS.COM
King Brothers Decorating,615 College Hwy,Southwick,MA,01077-9592,Kevin King,(413) 569-3134,WWW.KINGBROTHERSDECORATING.COM
Wagner Rug Co,95c Mainline Dr,Westfield,MA,01085-3313,Joseph Wagner,(413) 568-0520,WWW.JOSEPHWAGNER.COM
Beautiful Rooms Inc,42 Myron St,West Springfield,MA,01089-1416,June Okun,(413) 737-4012,WWW.BEAUTIFULROOMS.NET
Salamon Flooring Inc,103 Myron St Ste A,West Springfield,MA,01089-1485,Mitchell Salamon,(413) 736-5958,WWW.SALAMONFLOORING.COM
Superior Rugcraft,6 Progress Ave,Springfield,MA,01104-3231,Richard Grimaldi,(413) 788-4518,WWW.ADAMSANDSWETT.COM
Yenian Oriental Rugs,57 Pearl St,Springfield,MA,01105-1717,Albert Yenian,(413) 737-0368,WWW.YENIAN.COM
Boston Carpeting & Flrg Distrs,481 Belmont Ave,Springfield,MA,01108-1751,Ralph Fiore,(413) 734-5544,WWW.FLOORINGAMERICAOFSPRINGFIELD.COM
Carpetland & More Inc,1340 Boston Rd,Springfield,MA,01119-1336,George Petitt,(413) 782-7000,WWW.CARPETLANDANDMORE.NET
Stevens World Of Carpet,5 Cheshire Rd Ste 12,Pittsfield,MA,01201-1860,William Murray,(413) 443-6459,WWW.STEVENSWORLDOFFLOORING.COM
Rich Paul & Sons,242 North St,Pittsfield,MA,01201-4604,Thomas Rich,(413) 443-6467,WWW.PAULRICH.COM
Doran Carpet Center Inc,PO Box 992,North Adams,MA,01247-0992,Sandra Morrisey,(413) 664-6585,WWW.DORAN.FLOORINGPLUS.COM
Pristine Wall To Wall,16 Butternut St,Greenfield,MA,01301-1379,Bill Noyes,(413) 772-0521,WWW.PRISTINEORIENTALS.COM
Amy Fagin,236 Neilson Rd,New Salem,MA,01355-9505,Wayne Hacey,(978) 544-2247,WWW.20THCENTURYILLUMINATIONS.COM
Once Upon A Tile,12 Westminster St,Fitchburg,MA,01420-2802,Jean Kaddy,(978) 345-8343,WWW.ONCEUPONATILE.COM
Rome Furniture,562 Main St,Gardner,MA,01440-3044,Arthur Rome,(978) 632-0687,WWW.ROMEFURNITURE.COM
Rug Shack & Home Center,220 Parker St,Gardner,MA,01440-3704,Gerald Maillet,(978) 632-8863,WWW.RUGSHACK.COM
David J Galvin Flooring Inc,602 Boston Rd,Groton,MA,01450-2059,David Galvin,(978) 448-3206,WWW.GALVINFLOORING.NET
S & R Carpet,PO Box 1112,Littleton,MA,01460-0712,Paul Leone,(978) 486-3079,WWW.SRCARPETANDFLOORS.COM
Flooring Showcase Inc,435 King St Ste 2,Littleton,MA,01460-1275,Henry Ricard,(978) 486-9682,WWW.FLOORINGSHOWCASE.BIZ
Thats Acme,228 Massachusetts Ave,Lunenburg,MA,01462-1217,James Fleming,(978) 345-5541,WWW.ACMECARPETONE.COM
Sclamo Appliance & Furniture,1485 Grafton Rd,Millbury,MA,01527-4309,Peter Sclamo,(508) 755-1400,WWW.SCLAMOMILLBURY.COM
Grays Carpet Center Inc,60 Main St,Northborough,MA,01532-1944,James Stone,(508) 393-2659,WWW.GRAYSCARPETCENTER.COM
North Oxford Mills,PO Box 576,North Oxford,MA,01537-0576,Bernard Edinberg,(508) 987-8521,WWW.NORTHOXFORDMILLS.COM
Douglas Hardwood Floors,235 Hartford Tpke,Shrewsbury,MA,01545-4634,Marvin Shong,(508) 757-1911,WWW.DOUGLASHARDWOODFLOORS.COM
Carpet Lover Inc,PO Box 342,Uxbridge,MA,01569-0342,Ron Halterman,(508) 278-5657,WWW.CARPETLOVERINC.COM
Horton Furniture,53 Schofield Ave Ste 2,Dudley,MA,01571-3499,Stephen Duszlak,(508) 943-0234,WWW.HORTONFURNITURE.COM
Carpet Lover,1 Connector Rd,Westborough,MA,01581-3916,Dave Halterman,(508) 366-7847,WWW.CARPETLOVER.COM
Guidos Soft Step Floor Cvg,271 W Boylston St Ste 4,West Boylston,MA,01583-2372,Guido Caracciolo,(508) 835-2928,WWW.GUIDOSSOFTSTEP.COM
Eddys Carpet & Warehouse Outl,3 James St,Worcester,MA,01603-1011,Howie Stein,(508) 754-3284,WWW.EDDYSCARPET.COM
Alf & Interiors,169 Shrewsbury St,Worcester,MA,01604-4610,Bruce Hovden,(508) 753-2415,WWW.BRH.COM
Commercial Carpet & Tile Corp,49 Barber Ave,Worcester,MA,01606-2344,Edward Sutherland,(508) 853-3499,WWW.COMMERCIALCARPETTILE.COM
Original Saxonville Carpet Str,3 Elm St,Framingham,MA,01701-3488,Charles Green,(508) 788-1718,WWW.CENTRECARPETSWEST.COM
Carpet Mill Outlet Store,1602 Concord St Ste 3,Framingham,MA,01701-3590,Philip Degozzaldi,(508) 877-8002,WWW.CARPETMILLOUTLETSTORE.COM
