name,owners,address,city,state,postal,phone,websites,,
ARIZONA FCA,Cyndi Hardy,PO BOX 6064,GOODYEAR,Arizona,85338,(623) 640-4114,,,
ASSOCIATED FCC,Jerry Van Scoy,"10117 SE SUNNYSIDE RD, F#1225",CLACKAMAS,Oregon,97015,(503) 760-5109,,,
CENTRAL COAST COUNTIES FCA,Thomas Heinzelmann,400 REED ST,SANTA CLARA,California,8032,(408) 727-4320,http://www.floorcovering.org/fci,,
CHICAGO FLOORCOVERING ASSOC,Cecil Treadway,"799 ROOSEVELT RD, BLDG 4 #010",GLEN ELLYN,Illinois,60137,(800) 627-1299,http://www.chicagoflooring.org,,
CONNECTICUT FLOOR COVERING ASSOCIATION,Jim Walsh,1390 PARK ST,HARTFORD,Connecticut,6106,(860) 951-1644,http://www.thecfca.org,,
HAWAII FLOORING ASSOC,Tim Lyons,"1188 BISHOP ST, STE 1003",HONOLULU,Hawaii,3304,(808) 537-1224,,,
IDAHO FLOOR COVERING ASSN,Teri Ottens,PO BOX 8224,BOISE,Idaho,83707,(208) 376-4222,,,
LONG ISLAND FCA,Joan Liguori,406 JERICHO TURNPIKE,FLORAL PARK,New York,11001,(516) 352-3898,http://www.lifca.org,,
MARYLAND & NORTHERN VIRGINIA FL\COV ASSN,Michelle Goshorn,PO BOX 5724,FREDERICKSBURG,Virginia,22403,(877) 896-3605,http://www.mdnvafca.org,,
MIDDLE TENNESSEE FLOORING ASSOC,Yvonne Nolte,2140 DAYTON AVE,NASHVILLE,Tennessee,37210,(615) 301-2715,,,
MINNESOTA FCA,Lori Anderson,645 81ST AVE NE,SPRING LAKE PARK,Minnesota,55432,(651) 254-5715,http://www.minnesotaflooring.org,,
NAT'L INSTITUTE CERTIFIED FL/COV INSPECTORS NICFI,Bill Zoetvelt,18813 S 113TH AVE,MOKENA,Illinois,60448,(708) 205-0040,,,
NEBRASKA/IOWA FCA,Darren McKean,10811 HARRISON ST,OMAHA,Nebraska,68128,(402) 331-4062,,,
NEW ENGLAND INSTITUTE OF RESTORATION AND CLEANING,Pamela McKenna,"6 BOSTON RD, STE 201",CHELMSFORD,Massachusetts,1824,(978) 250-9847,http://www.neirc.org,,
NO. CALIFORNIA FLOORING ASSOC,Steve Lyon,1100 SELBY ST,SAN FRANCISCO,California,94124,(415) 282-1822,,,
NORTH EAST OHIO FCA,Mimi Russ,18077 ALPINE CIRCLE,STRONGSVILLE,Ohio,44136,(440) 878-1359,http://www.neofca.org,,
NORTHERN SIERRA FLOORING ASSN,Bob Toriyama,4190 RIVERHAVEN DR,RENO,Nevada,89509,(775) 746-5525,,,
REDWOOD EMPIRE FCA,Elaine Harper,714 PETALUMA BLVD N,PETALUMA,California,94952,(707) 763-9663,,,
SACRAMENTO VALLEY FCA,Dana Reckers,7531 KRETH RD,FAIR OAKS,California,95628,(916) 747-0249,http://www.svfca.org,,
SAN DIEGO COUNTY FL\COV ASSOC,Don Melucci,7525 RAYTHEON RD,SAN DIEGO,California,92111,(858) 278-9100,,,
SOUTHERN CALIFORNIA FCA,Mitch Kearns,PO BOX 6106,ANAHEIM,California,92806,(714) 474-9335,,,
SOUTHERN NEVADA FCA,Terry Mayfield,"2303 E SAHARA AVE, STE 101",LAS VEGAS,Nevada,89104,(702) 457-0556,,,
UTAH FLOOR COVERING ASSN,Betty Sturdevant,PO BOX 95166,SOUTH JORDAN,Utah,84095,(801) 484-5105,,,
WASHINGTON STATE FCA,Debbie Tott,PO BOX 2559,REDMOND,Washington,98073,(425) 885-0012,http://www.wsfca.org,,
WISCONSIN FCA,Roger Hegg,PO BOX 259301,MADISON,Wisconsin,9301,(608) 663-2525,http://www.wifca.net,,
